Erklæring	Uenig	Enig	Volt Holdning	Volt_Explanation
Der skal indsættes en CO2-skat	Det er protektionisme og ødelægger den globale handel, når Europa opsætter barrierer for handel på den måde. 	Det giver mening at vi beskatter dét, vi ikke ønsker. VI skal reducere CO2-udledninger, derfor skal vi beskatte dem.	3	Volt mener, at en CO2-afgift kan være en effektiv markedsbaseret mekanisme til at tilskynde overgangen til en lavemissionsøkonomi. Vi foreslår at bruge indtægterne fra CO2-skatten til at finansiere bæredygtige og klimavenlige projekter. Vi vil geninvestere provenuet i vedvarende energi, grøn infrastruktur samt forskning og udvikling af grønne teknologier. Vi går ind for en retfærdig overgang til en bæredygtig økonomi. Vi mener, at en CO2-skat bør implementeres på en måde, så den støtter sårbare grupper og industrier i overgangsperioden.
Uddannelse skal styrkes og finansieres med mindst 4% af BNP	Vi får så meget støtte fra EU og de private virksomheder. Staten kan investere de penge andre steder.	Det er statens opgave at uddanne sine borgere og det skal være en kerneopgave for politikere at sikre landets uddannelsesniveauer	4	Vi har brug for at det offentlige investerer i uddannelse for ellers får vi ikke forskerdrevet og fri forskning. I en stigende mekaniseret verden har vi brug for mere balance mellem det menneskelige og det tekniske.  Generelt ønsker Volt at investere i uddanelse hele livet. Uddannelse skal være reelt tilgængelig for en bredere vifte af studerendes evner og talenter. Vi tror på at undersøge langsigtede tendenser og opdatere læseplaner for at være i tråd med vores skiftende samfund. Vi støtter også udviklingen af nye værktøjer og uddannelsesparametre. Vi ønsker at give alle børn mulighed for at bygge videre på deres styrker, samtidig med at vi sikrer minimumsstandarder og opmuntrer børn til at lære gennem lederskab, deltagelse og samfundsbevidsthed.
Danmark skal støtte udviklingen af europæisk transportinfrastruktur, særligt højhastighedstog	Der er masser af infrastruktur, det skal bare køres bedre og det afhænger af nationale togbaner. 	Vi har brug for at kunne rejse hurtigt og CO2-frit. Elektrificering af vores transportsektor er én af de store udslagsgivere.	4	Vi har brug for at udvikle nye måder at rejse på. Volt går ind for en bred investering i transportsektoren, så vi kan rejse grønnere og styrke elektrificeringen af Europa.
Udlandsdanskere skal have stærkere rettigheder - det er for svært at være dansker i udlandet idag.	Når man har forladt Danmark, så kan man ikke forvente at påvirke hvordan landet ledes.	Der er mange lovgivninger, der bliver lavet i Danmark som påvirker udlandsdanskere i høj grad. De skal sikres når de har mistet deres ret til at stemme til valg.	3	Enhver EU-borger, der bor i et andet medlemsland eller opholder sig midlertidigt i et andet land, skal have mulighed for at stemme, som om de var i det land, hvor de er statsborgere. Dette kan gøres gennem nationale ambassader eller lokale repræsentationer i Europa-Parlamentet, forudsat at de registrerer sig mindst 30 dage før afstemningen. EU-borgere, der bor og er lovligt registreret i en anden medlemsstat, kan vælge, om de vil stemme i deres bopælsmedlemsstat eller i den medlemsstat, hvor de er statsborgere. De kan kun stemme i én medlemsstat. Hvis de er midlertidigt til stede, skal de have mulighed for at stemme, som om de var i den medlemsstat, hvor de er statsborgere
Vi har opnået LGBTIQA+ lighed og behøver ikke længere at have et særligt fokus her	Vi er alle skabt lige og det er forkert, at folk stadig forskelsbehandles på grund af deres kærlighedsliv. Så længe der er diskrimination skal vi holde fokus på dét!	Der er nok fokus på LGBTIQA+ rettigheder	1	Volt er stærkt engageret i at fremme og beskytte LGBTIQ+-rettigheder. Vi mener, at alle individer skal behandles lige, uanset deres køn, seksuelle orientering eller kønsidentitet. Vi fremmer lovgivning, der støtter ægteskabsligestilling, legaliserer adoption for par af samme køn og beskytter rettighederne for transkønnede og interkønnede. Vi tror også på, at politiet skal uddannes i hadforbrydelser mod LGBTIQ+-personer, og at virksomheder skal tilskyndes til at uddanne deres personale i emnet.
Det skal være nemmere at anerkende uddannelser fra EU-lande	Det skaber for meget forvirring, hvis man ikke ved, hvilken uddannelse folk har.	Vi risikerer at miste meget potentiale, fordi vi ikke er gode nok til at give folk mulghed for at supplere deres uddannelse nok. 	4	Volt støtter en harmonisering af akkrediteringsordningerne i hele Europa og en gennemgang af adgangskravene til studierne. Dette inkluderer anerkendelse af udenlandsk uddannelse og belønning af sociale engagementskompetencer.
Det er en god ide at indsætte en karensperiode i politik for at standse svingdørene	Danmark er et lille land og hvis ikke vi sørger for at de bedste mennesker får de rigtige stillinger, så går det landet dårligt. Folk skal ikke være fanget i et job, men skal have mulighed for at udvikle deres potentiale. Folk er i stand til at adskille tidligere jobs fra nyere stillinger.	Der er for mange politikere, der hopper fra Folketinget til det private og det ødelægger tilliden til systemet og det politiske arbejde. Det er ikke godt, at der skabes usikkerhed om tilhørsforhold, hvis politikere i virkeligheden allerede mens de arbejder på Christiansborg, begynder at træffe beslutninger for at få et job i det private efter end tjeneste.	4	Volt mener, at svingdøre mellem politik og den private sektor kan føre til interessekonflikter og underminere offentlighedens tillid. Som en del af vores forpligtelse til at forhindre korruption foreslår Volt strenge krav for at forhindre interessekonflikter, såsom at afsløre indtægtskilder og tilknytning til private virksomheder, lobbygrupper og politiske partier. Vi foreslår også at udelukke personer, der er dømt for visse forbrydelser, herunder korruption og underslæb, fra at blive valgt.  Vi mener det giver mening at fastholde en karensperiode, der svarer til den periode, som politikere modtager vederlag fra Folketinget.  Når Volt foreslår en karantæneperiode for politikere, mener vi, at vi går ind for betydelige afkølingsperioder for embedsmænd og folkevalgte i tiden mellem de forlader deres stillinger og påtager sig en ny rolle, der involverer for-profit fortalervirksomhed eller lobbyvirksomhed. Dette er for at forhindre eventuelle interessekonflikter, der kan opstå fra deres tidligere stillinger og tilhørsforhold, og for at sikre, at de handler i offentlighedens interesse snarere end private interesser. Institutionelle etiske komiteer skal også oprettes eller styrkes for at forhindre interessekonflikter efter offentlig tjeneste i henhold til strengere etiske retningslinjer.
Der bør være mere fokus på EU politik i nyhederne.	Der er for meget information og vi har ikke brug for flere kanaler til at forvirre samtalen. 	Vi har brug at forstå hvad der sker direkte - ikke filtreret gennem nationale dagsordener.	4	Volt vil skabe paneuropæiske medier og udbrede medieindhold i hele EU for at skabe et transnationalt politisk offentligt rum og demokrati. Vi støtter den grænseoverskridende tilgængelighed af nationalt public service-indhold i hele EU og vil opfordre til en forøgelse af EU's støtte og finansiering til uddannelse af journalister samt til kvalitets- og undersøgelsesjournalistik i EU. Volt mener, at det er vigtigt at tilskynde til større mediedækning af EU-anliggender, såvel som at tilskynde til live-dækning af nationale og europæiske parlamentariske forsamlinger af offentlige medier, for at fremme fremkomsten af en paneuropæisk offentlig sfære. Derudover søger vi at støtte uddannelsestiltag, der styrker civilsamfundets, offentlige institutioners og den akademiske verden rolle i at skelne mellem troværdige og falske nyhedskilder og -indhold.
Dørene til det danske politiske system skal åbnes 	Vi kan ikke have at der kommer alle mulige skøre partier på stemmesedlen. Vi skal beskytte valghandlingen så det kun er seriøse partier, der kan stemmes på	Idag har Danmark de højeste tærskler for deltagelse i demokratiet. Det er et problem for aktiv deltagelse og nytænkning i demokratiet. 	4	Der er svingdøre for politikere og barrikader for nye partier. Danmark har den højeste tærskel for at komme på stemmesedlen til Europaparlamentsvalget og det gavner ikke den danske samtale eller tillid til det politiske system.  Krisen i det danske demokratiske system er tydelig: faldende antal medlemmer i politiske partier; stigende mistillid til politikerne og demonstrationer i gaderne.  Danske politikere burde ikke være bange for at få flere partier - der burde være reel bekymring for ikke at have partier nok!  At blive opstillet er essentielt for at deltage i den offentlige demokratiske debat. Danske medier fravælger ikke-opstillingsparate partier til politiske debatter, der derfor får mindre taletid, har sværere ved at få deres ideer hørt og derfor sværere ved at samle vælgererklæringer.   Ingen andre EU-lande kræver, at nye partier dokumenterer ALLE sine vælgere FØR man stiller op.
Borgersamlinger skal være et gennemgående redskab i politikudvikling	Borgersamlinger er en sund og gennemsigtig måde hvor borgere kan deltage i den demokratiske samtale.	Borgersamlinger fjerner magten fra politikerne og så giver valg jo ingen mening.	4	Volt støtter implementeringen af klare mekanismer til at udløse en borgerforsamling, såsom at kræve, at et beslutningsdygtigt antal underskrifter skal nås inden for en bestemt tidsramme. De respektive politikere bør holdes ansvarlige for implementeringen af borgerforsamlingernes resultater. Derudover fremmer Volt deltagelsesbaseret budgettering og en stigning i finansieringen af borgerinddragelsesprojekter i hele den europæiske civilsamfundssektor.  Borgersamlinger giver borgerne mulighed for at deltage i den politiske beslutningstagning. En mangfoldig gruppe af borgere udvælges tilfældigt til at tage fat på et specifikt politisk emne og komme med informerede anbefalinger gennem en forhandlingsproces. Resultaterne af disse forsamlinger skal have direkte indflydelse på politikken eller brugen af lokale midler, og processen skal involvere omfattende briefinger og uafhængige ekspertinput. Deres mål er at øge kvaliteten og legitimiteten af politiske beslutninger.
Det er vigtigt at styrke EUs fire friheder - fri bevægelighed af mennesker, kapital, varer og tjenester.	Før vi har sikret vores ydre grænser og har de nødvendige resourcer på europæisk plan må vi være indstillet på at begrænse EUs fire friheder. Vi har ikke resourcerne til at håndtere alle de uforudsete 	Den frie bevægelighed skaber tillid og opbygger forståelse på tværs af kontinentet. Koordinerede sikkerhedstjek, udveksling af informationer og digitale spor gør det nemmere at spore ulovligheder uden at forhindre den frie bevægelighed og udveksling af viden og varer på tværs af Europas grænser. 	4	EUs fire friheder skaber unikke muligheder for borgere i EU, men vi taler sjældent om de rettigheder, som EU-borgere har som del af EUs overordnede målsætning: At skabe en endnu tættere union. De fire friheder er under pres fra mange sider men det er vigtigt at forstå, hvad de har betydet og kommer til at betyde for EUs og Europas fremtid. 
